strategy,peakOvr,finalLeague,nhlGames,championships,individualAwards,retirementAge,careerEarnings,wasDemoted,hitUFA
OPTIMIZER,282,,77,0,0,17,0,false,false
OPTIMIZER,268,,75,0,0,17,0,false,false
OPTIMIZER,311,,72,0,0,17,0,false,false
OPTIMIZER,253,,64,0,0,17,0,false,false
OPTIMIZER,291,,75,0,0,17,0,false,false
OPTIMIZER,264,,66,0,0,17,0,false,false
OPTIMIZER,263,,72,0,0,17,0,false,false
OPTIMIZER,309,,70,0,0,17,0,false,false
OPTIMIZER,270,,71,0,0,17,0,false,false
OPTIMIZER,294,,69,0,0,17,0,false,false
OPTIMIZER,277,,71,0,0,17,0,false,false
OPTIMIZER,252,,63,0,0,17,0,false,false
OPTIMIZER,300,,75,0,0,17,0,false,false
OPTIMIZER,312,,68,0,0,17,0,false,false
OPTIMIZER,303,,61,0,0,17,0,false,false
OPTIMIZER,296,,75,0,0,17,0,false,false
OPTIMIZER,296,,64,0,0,17,0,false,false
OPTIMIZER,326,,68,0,0,17,0,false,false
OPTIMIZER,257,,67,0,0,17,0,false,false
OPTIMIZER,335,,66,0,0,17,0,false,false
OPTIMIZER,346,,76,0,0,17,0,false,false
OPTIMIZER,285,,68,0,0,17,0,false,false
OPTIMIZER,286,,66,0,0,17,0,false,false
OPTIMIZER,289,,77,0,0,17,0,false,false
OPTIMIZER,303,,69,0,0,17,0,false,false
OPTIMIZER,292,,67,0,0,17,0,false,false
OPTIMIZER,300,,65,0,0,17,0,false,false
OPTIMIZER,307,,69,0,0,17,0,false,false
OPTIMIZER,283,,68,0,0,17,0,false,false
OPTIMIZER,268,,76,0,0,17,0,false,false
OPTIMIZER,257,,62,0,0,17,0,false,false
OPTIMIZER,264,,66,0,0,17,0,false,false
OPTIMIZER,311,,76,0,0,17,0,false,false
OPTIMIZER,310,,67,0,0,17,0,false,false
OPTIMIZER,281,,62,0,0,17,0,false,false
OPTIMIZER,304,,72,0,0,17,0,false,false
OPTIMIZER,272,,77,0,0,17,0,false,false
OPTIMIZER,305,,65,0,0,17,0,false,false
OPTIMIZER,288,,68,0,0,17,0,false,false
OPTIMIZER,261,,75,0,0,17,0,false,false
OPTIMIZER,307,,64,0,0,17,0,false,false
OPTIMIZER,263,,72,0,0,17,0,false,false
OPTIMIZER,245,,67,0,0,17,0,false,false
OPTIMIZER,265,,75,0,0,17,0,false,false
OPTIMIZER,303,,73,0,0,17,0,false,false
OPTIMIZER,248,,66,0,0,17,0,false,false
OPTIMIZER,296,,62,0,0,17,0,false,false
OPTIMIZER,280,,73,0,0,17,0,false,false
OPTIMIZER,311,,64,0,0,17,0,false,false
OPTIMIZER,260,,61,0,0,17,0,false,false
OPTIMIZER,275,,72,0,0,17,0,false,false
OPTIMIZER,294,,70,0,0,17,0,false,false
OPTIMIZER,295,,74,0,0,17,0,false,false
OPTIMIZER,301,,65,0,0,17,0,false,false
OPTIMIZER,302,,76,0,0,17,0,false,false
OPTIMIZER,330,,64,0,0,17,0,false,false
OPTIMIZER,296,,74,0,0,17,0,false,false
OPTIMIZER,285,,66,0,0,17,0,false,false
OPTIMIZER,271,,61,0,0,17,0,false,false
OPTIMIZER,300,,75,0,0,17,0,false,false
OPTIMIZER,315,,76,0,0,17,0,false,false
OPTIMIZER,301,,72,0,0,17,0,false,false
OPTIMIZER,300,,73,0,0,17,0,false,false
OPTIMIZER,305,,76,0,0,17,0,false,false
OPTIMIZER,279,,73,0,0,17,0,false,false
OPTIMIZER,308,,71,0,0,17,0,false,false
OPTIMIZER,260,,64,0,0,17,0,false,false
OPTIMIZER,303,,69,0,0,17,0,false,false
OPTIMIZER,269,,72,0,0,17,0,false,false
OPTIMIZER,294,,71,0,0,17,0,false,false
OPTIMIZER,273,,71,0,0,17,0,false,false
