strategy,pos,startLeague,peakOvr,finalOvr,finalLeague,seasonsPlayed,retirementAge,everInNhl,everDemoted,nhlGames,nhlGoals,nhlAssists,ahlGames,teamsCount,championships,individualAwards,awardsList
OPTIMIZER,LD,LIIGA,81,78,LIIGA,36,34,false,false,0,0,0,0,1,0,4,2039:LIIGA All-Star | 2040:LIIGA All-Star | 2042:LIIGA All-Star | 2043:LIIGA All-Star
OPTIMIZER,LW,QMJHL,81,77,QMJHL,36,34,false,false,0,0,0,0,1,0,28,2026:QMJHL 1st All-Star Team | 2027:QMJHL 1st All-Star Team | 2028:QMJHL 1st All-Star Team | 2029:QMJHL 1st All-Star Team | 2030:QMJHL 1st All-Star Team | 2031:QMJHL 1st All-Star Team | 2032:QMJHL 1st All-Star Team | 2033:Michel Brière Memorial Trophy (QMJHL Most Valuable Player) | 2033:Jean Béliveau Trophy (QMJHL Top Scorer) | 2033:QMJHL 1st All-Star Team | 2034:QMJHL 1st All-Star Team | 2035:Jean Béliveau Trophy (QMJHL Top Scorer) | 2035:QMJHL 1st All-Star Team | 2036:QMJHL 1st All-Star Team | 2037:QMJHL 1st All-Star Team | 2038:QMJHL 1st All-Star Team | 2039:Michel Brière Memorial Trophy (QMJHL Most Valuable Player) | 2039:Jean Béliveau Trophy (QMJHL Top Scorer) | 2039:QMJHL 1st All-Star Team | 2040:Jean Béliveau Trophy (QMJHL Top Scorer) | 2040:QMJHL 1st All-Star Team | 2041:Michel Brière Memorial Trophy (QMJHL Most Valuable Player) | 2041:Jean Béliveau Trophy (QMJHL Top Scorer) | 2041:QMJHL 1st All-Star Team | 2042:Michel Brière Memorial Trophy (QMJHL Most Valuable Player) | 2042:Jean Béliveau Trophy (QMJHL Top Scorer) | 2042:QMJHL 1st All-Star Team | 2043:QMJHL 1st All-Star Team
OPTIMIZER,LD,USHL,85,81,USHL,36,34,false,false,0,0,0,0,1,0,23,2030:USHL All-Star | 2031:USHL All-Star | 2032:USHL All-Star | 2034:USHL Defenceman of the Year | 2034:USHL All-Star | 2035:USHL Defenceman of the Year | 2035:USHL All-Star | 2036:USHL Defenceman of the Year | 2036:USHL All-Star | 2037:USHL Defenceman of the Year | 2037:USHL All-Star | 2038:USHL Defenceman of the Year | 2038:USHL All-Star | 2039:USHL Defenceman of the Year | 2039:USHL All-Star | 2040:USHL Defenceman of the Year | 2040:USHL All-Star | 2041:USHL Defenceman of the Year | 2041:USHL All-Star | 2042:USHL Defenceman of the Year | 2042:USHL All-Star | 2043:USHL Defenceman of the Year | 2043:USHL All-Star
OPTIMIZER,RW,USHL,84,78,USHL,36,34,false,false,0,0,0,0,1,0,37,2026:USHL All-Star | 2027:USHL All-Star | 2028:USHL All-Star | 2029:USHL All-Star | 2030:USHL Forward of the Year | 2030:USHL All-Star | 2031:USHL All-Star | 2032:USHL All-Star | 2033:USHL All-Star | 2034:USHL Forward of the Year | 2034:USHL All-Star | 2035:USHL Player of the Year | 2035:USHL Forward of the Year | 2035:USHL All-Star | 2036:USHL Player of the Year | 2036:USHL Forward of the Year | 2036:USHL All-Star | 2037:USHL Player of the Year | 2037:USHL Forward of the Year | 2037:USHL All-Star | 2038:USHL Forward of the Year | 2038:USHL All-Star | 2039:USHL Player of the Year | 2039:USHL Forward of the Year | 2039:USHL All-Star | 2040:USHL Player of the Year | 2040:USHL Forward of the Year | 2040:USHL All-Star | 2041:USHL Player of the Year | 2041:USHL Forward of the Year | 2041:USHL All-Star | 2042:USHL Player of the Year | 2042:USHL Forward of the Year | 2042:USHL All-Star | 2043:USHL Player of the Year | 2043:USHL Forward of the Year | 2043:USHL All-Star
OPTIMIZER,RD,QMJHL,86,81,QMJHL,36,34,false,false,0,0,0,0,1,0,22,2026:QMJHL 1st All-Star Team | 2027:QMJHL 1st All-Star Team | 2028:QMJHL 1st All-Star Team | 2029:QMJHL 1st All-Star Team | 2030:QMJHL 1st All-Star Team | 2031:QMJHL 1st All-Star Team | 2032:QMJHL 1st All-Star Team | 2033:QMJHL 1st All-Star Team | 2034:QMJHL 1st All-Star Team | 2035:Émile Bouchard Trophy (QMJHL Defenceman of the Year) | 2035:QMJHL 1st All-Star Team | 2036:Émile Bouchard Trophy (QMJHL Defenceman of the Year) | 2036:QMJHL 1st All-Star Team | 2037:QMJHL 1st All-Star Team | 2038:Émile Bouchard Trophy (QMJHL Defenceman of the Year) | 2038:QMJHL 1st All-Star Team | 2039:QMJHL 1st All-Star Team | 2040:Émile Bouchard Trophy (QMJHL Defenceman of the Year) | 2040:QMJHL 1st All-Star Team | 2041:QMJHL 1st All-Star Team | 2042:QMJHL 1st All-Star Team | 2043:QMJHL 1st All-Star Team
OPTIMIZER,RW,SHL,83,77,SHL,36,34,false,false,0,0,0,0,1,0,13,2030:SHL All-Star | 2032:SHL All-Star | 2033:SHL All-Star | 2034:SHL All-Star | 2035:SHL All-Star | 2036:SHL All-Star | 2037:SHL All-Star | 2038:SHL All-Star | 2039:SHL All-Star | 2040:SHL All-Star | 2041:SHL All-Star | 2042:SHL All-Star | 2043:SHL All-Star
OPTIMIZER,LD,WHL,86,78,WHL,38,35,false,false,0,0,0,0,1,0,20,2031:WHL 1st All-Star Team | 2032:WHL 1st All-Star Team | 2033:WHL 1st All-Star Team | 2034:Bill Hunter Memorial Trophy (WHL Top Defenceman) | 2034:WHL 1st All-Star Team | 2035:Bill Hunter Memorial Trophy (WHL Top Defenceman) | 2035:WHL 1st All-Star Team | 2036:Bill Hunter Memorial Trophy (WHL Top Defenceman) | 2036:WHL 1st All-Star Team | 2037:Bill Hunter Memorial Trophy (WHL Top Defenceman) | 2037:WHL 1st All-Star Team | 2038:WHL 1st All-Star Team | 2039:WHL 1st All-Star Team | 2040:WHL 1st All-Star Team | 2041:Bill Hunter Memorial Trophy (WHL Top Defenceman) | 2041:WHL 1st All-Star Team | 2042:WHL 1st All-Star Team | 2043:Bill Hunter Memorial Trophy (WHL Top Defenceman) | 2043:WHL 1st All-Star Team | 2044:WHL 1st All-Star Team
OPTIMIZER,LW,NCAA,85,79,NCAA,36,34,false,false,0,0,0,0,1,0,17,2026:1st Team All-American | 2028:1st Team All-American | 2029:1st Team All-American | 2030:1st Team All-American | 2031:1st Team All-American | 2032:1st Team All-American | 2033:1st Team All-American | 2034:1st Team All-American | 2035:1st Team All-American | 2036:1st Team All-American | 2037:1st Team All-American | 2038:1st Team All-American | 2039:1st Team All-American | 2040:1st Team All-American | 2041:1st Team All-American | 2042:1st Team All-American | 2043:1st Team All-American
OPTIMIZER,LD,OHL,86,80,OHL,36,34,false,false,0,0,0,0,1,0,17,2031:OHL 1st All-Star Team | 2033:OHL 1st All-Star Team | 2034:OHL 1st All-Star Team | 2035:Max Kaminsky Trophy (OHL Most Outstanding Defenceman) | 2035:OHL 1st All-Star Team | 2036:OHL 1st All-Star Team | 2037:Max Kaminsky Trophy (OHL Most Outstanding Defenceman) | 2037:OHL 1st All-Star Team | 2038:Max Kaminsky Trophy (OHL Most Outstanding Defenceman) | 2038:OHL 1st All-Star Team | 2039:OHL 1st All-Star Team | 2040:Max Kaminsky Trophy (OHL Most Outstanding Defenceman) | 2040:OHL 1st All-Star Team | 2041:OHL 1st All-Star Team | 2042:Max Kaminsky Trophy (OHL Most Outstanding Defenceman) | 2042:OHL 1st All-Star Team | 2043:OHL 1st All-Star Team
OPTIMIZER,RD,QMJHL,85,80,QMJHL,36,34,false,false,0,0,0,0,1,0,16,2030:QMJHL 1st All-Star Team | 2031:QMJHL 1st All-Star Team | 2032:QMJHL 1st All-Star Team | 2033:QMJHL 1st All-Star Team | 2034:QMJHL 1st All-Star Team | 2036:QMJHL 1st All-Star Team | 2037:Émile Bouchard Trophy (QMJHL Defenceman of the Year) | 2037:QMJHL 1st All-Star Team | 2038:QMJHL 1st All-Star Team | 2039:QMJHL 1st All-Star Team | 2040:Émile Bouchard Trophy (QMJHL Defenceman of the Year) | 2040:QMJHL 1st All-Star Team | 2041:Émile Bouchard Trophy (QMJHL Defenceman of the Year) | 2041:QMJHL 1st All-Star Team | 2042:QMJHL 1st All-Star Team | 2043:QMJHL 1st All-Star Team
OPTIMIZER,LW,QMJHL,84,79,QMJHL,36,34,false,false,0,0,0,0,1,0,23,2026:QMJHL 1st All-Star Team | 2028:QMJHL 1st All-Star Team | 2029:QMJHL 1st All-Star Team | 2030:QMJHL 1st All-Star Team | 2031:QMJHL 1st All-Star Team | 2032:QMJHL 1st All-Star Team | 2033:QMJHL 1st All-Star Team | 2034:Jean Béliveau Trophy (QMJHL Top Scorer) | 2034:QMJHL 1st All-Star Team | 2035:QMJHL 1st All-Star Team | 2036:QMJHL 1st All-Star Team | 2037:QMJHL 1st All-Star Team | 2038:QMJHL 1st All-Star Team | 2039:Michel Brière Memorial Trophy (QMJHL Most Valuable Player) | 2039:Jean Béliveau Trophy (QMJHL Top Scorer) | 2039:QMJHL 1st All-Star Team | 2040:Jean Béliveau Trophy (QMJHL Top Scorer) | 2040:QMJHL 1st All-Star Team | 2041:Michel Brière Memorial Trophy (QMJHL Most Valuable Player) | 2041:Jean Béliveau Trophy (QMJHL Top Scorer) | 2041:QMJHL 1st All-Star Team | 2042:QMJHL 1st All-Star Team | 2043:QMJHL 1st All-Star Team
OPTIMIZER,LD,NCAA,85,74,NCAA,38,35,false,false,0,0,0,0,1,0,10,2032:1st Team All-American | 2034:1st Team All-American | 2035:1st Team All-American | 2037:1st Team All-American | 2038:1st Team All-American | 2039:1st Team All-American | 2040:1st Team All-American | 2041:1st Team All-American | 2042:1st Team All-American | 2043:1st Team All-American
OPTIMIZER,LW,USHL,84,78,USHL,36,34,false,false,0,0,0,0,1,0,31,2026:USHL All-Star | 2027:USHL All-Star | 2028:USHL All-Star | 2029:USHL Forward of the Year | 2029:USHL All-Star | 2030:USHL All-Star | 2031:USHL All-Star | 2032:USHL All-Star | 2033:USHL Player of the Year | 2033:USHL Forward of the Year | 2033:USHL All-Star | 2034:USHL Player of the Year | 2034:USHL Forward of the Year | 2034:USHL All-Star | 2035:USHL All-Star | 2036:USHL All-Star | 2037:USHL Forward of the Year | 2037:USHL All-Star | 2038:USHL Forward of the Year | 2038:USHL All-Star | 2039:USHL Player of the Year | 2039:USHL Forward of the Year | 2039:USHL All-Star | 2040:USHL Player of the Year | 2040:USHL Forward of the Year | 2040:USHL All-Star | 2041:USHL All-Star | 2042:USHL Forward of the Year | 2042:USHL All-Star | 2043:USHL Forward of the Year | 2043:USHL All-Star
OPTIMIZER,G,WHL,89,84,WHL,36,34,false,false,0,0,0,0,1,0,46,2027:Four Broncos Memorial Trophy (WHL Player of the Year) | 2027:Del Wilson Trophy (WHL Top Goaltender) | 2028:Four Broncos Memorial Trophy (WHL Player of the Year) | 2028:Del Wilson Trophy (WHL Top Goaltender) | 2028:WHL 1st All-Star Team | 2029:Four Broncos Memorial Trophy (WHL Player of the Year) | 2029:Del Wilson Trophy (WHL Top Goaltender) | 2030:Del Wilson Trophy (WHL Top Goaltender) | 2031:Four Broncos Memorial Trophy (WHL Player of the Year) | 2031:Del Wilson Trophy (WHL Top Goaltender) | 2032:Four Broncos Memorial Trophy (WHL Player of the Year) | 2032:Del Wilson Trophy (WHL Top Goaltender) | 2032:WHL 1st All-Star Team | 2033:Four Broncos Memorial Trophy (WHL Player of the Year) | 2033:Del Wilson Trophy (WHL Top Goaltender) | 2033:WHL 1st All-Star Team | 2034:Four Broncos Memorial Trophy (WHL Player of the Year) | 2034:Del Wilson Trophy (WHL Top Goaltender) | 2034:WHL 1st All-Star Team | 2035:Four Broncos Memorial Trophy (WHL Player of the Year) | 2035:Del Wilson Trophy (WHL Top Goaltender) | 2035:WHL 1st All-Star Team | 2036:Four Broncos Memorial Trophy (WHL Player of the Year) | 2036:Del Wilson Trophy (WHL Top Goaltender) | 2036:WHL 1st All-Star Team | 2037:Four Broncos Memorial Trophy (WHL Player of the Year) | 2037:Del Wilson Trophy (WHL Top Goaltender) | 2037:WHL 1st All-Star Team | 2038:Four Broncos Memorial Trophy (WHL Player of the Year) | 2038:Del Wilson Trophy (WHL Top Goaltender) | 2038:WHL 1st All-Star Team | 2039:Four Broncos Memorial Trophy (WHL Player of the Year) | 2039:Del Wilson Trophy (WHL Top Goaltender) | 2039:WHL 1st All-Star Team | 2040:Four Broncos Memorial Trophy (WHL Player of the Year) | 2040:Del Wilson Trophy (WHL Top Goaltender) | 2040:WHL 1st All-Star Team | 2041:Four Broncos Memorial Trophy (WHL Player of the Year) | 2041:Del Wilson Trophy (WHL Top Goaltender) | 2041:WHL 1st All-Star Team | 2042:Four Broncos Memorial Trophy (WHL Player of the Year) | 2042:Del Wilson Trophy (WHL Top Goaltender) | 2042:WHL 1st All-Star Team | 2043:Four Broncos Memorial Trophy (WHL Player of the Year) | 2043:Del Wilson Trophy (WHL Top Goaltender) | 2043:WHL 1st All-Star Team
OPTIMIZER,RW,WHL,84,79,WHL,36,34,false,false,0,0,0,0,1,0,21,2026:WHL 1st All-Star Team | 2028:WHL 1st All-Star Team | 2030:WHL 1st All-Star Team | 2031:WHL 1st All-Star Team | 2032:WHL 1st All-Star Team | 2033:WHL 1st All-Star Team | 2034:WHL 1st All-Star Team | 2035:WHL 1st All-Star Team | 2036:Four Broncos Memorial Trophy (WHL Player of the Year) | 2036:Bob Clarke Trophy (WHL Top Scorer) | 2036:WHL 1st All-Star Team | 2037:Bob Clarke Trophy (WHL Top Scorer) | 2037:WHL 1st All-Star Team | 2038:Four Broncos Memorial Trophy (WHL Player of the Year) | 2038:Bob Clarke Trophy (WHL Top Scorer) | 2038:WHL 1st All-Star Team | 2039:WHL 1st All-Star Team | 2040:WHL 1st All-Star Team | 2041:WHL 1st All-Star Team | 2042:WHL 1st All-Star Team | 2043:WHL 1st All-Star Team
OPTIMIZER,RD,SHL,83,78,SHL,36,34,false,false,0,0,0,0,1,0,3,2039:SHL All-Star | 2041:SHL All-Star | 2043:SHL All-Star
OPTIMIZER,LD,OHL,86,79,OHL,36,34,false,false,0,0,0,0,1,0,20,2026:OHL 1st All-Star Team | 2029:OHL 1st All-Star Team | 2031:OHL 1st All-Star Team | 2032:OHL 1st All-Star Team | 2033:Max Kaminsky Trophy (OHL Most Outstanding Defenceman) | 2033:OHL 1st All-Star Team | 2034:Max Kaminsky Trophy (OHL Most Outstanding Defenceman) | 2034:OHL 1st All-Star Team | 2035:OHL 1st All-Star Team | 2036:OHL 1st All-Star Team | 2037:OHL 1st All-Star Team | 2038:OHL 1st All-Star Team | 2039:Max Kaminsky Trophy (OHL Most Outstanding Defenceman) | 2039:OHL 1st All-Star Team | 2040:OHL 1st All-Star Team | 2041:Max Kaminsky Trophy (OHL Most Outstanding Defenceman) | 2041:OHL 1st All-Star Team | 2042:Max Kaminsky Trophy (OHL Most Outstanding Defenceman) | 2042:OHL 1st All-Star Team | 2043:OHL 1st All-Star Team
OPTIMIZER,G,NCAA,88,84,NCAA,36,34,false,false,0,0,0,0,1,0,14,2030:1st Team All-American | 2031:1st Team All-American | 2032:1st Team All-American | 2033:1st Team All-American | 2034:1st Team All-American | 2035:1st Team All-American | 2036:1st Team All-American | 2037:1st Team All-American | 2038:1st Team All-American | 2039:1st Team All-American | 2040:1st Team All-American | 2041:1st Team All-American | 2042:1st Team All-American | 2043:1st Team All-American
